L,lambda,
6,0.43,
6,0.48,
6,0.53,
6,0.58,
6,0.63,
6,0.68,
6,0.73,
6,0.78,
6,0.83,
6,0.88,
6,0.93,
6,0.98,
6,1.03,
6,1.08,
6,1.13,
6,1.18,
